dt,tile_id,pixel,category,year_no
2018-09-19T07:46:09Z,35KQR,0,6,1
2018-09-14T07:46:11Z,35KQR,0,6,1
2018-09-12T07:59:59Z,35KQR,0,0,1
2018-09-09T07:45:59Z,35KQR,0,6,1
2018-09-07T07:56:11Z,35KQR,0,0,1
2018-09-04T07:46:11Z,35KQR,0,6,1
2018-09-02T07:55:59Z,35KQR,0,0,1
2018-08-30T07:45:59Z,35KQR,0,6,1
2018-08-25T07:46:11Z,35KQR,0,6,1
2018-08-23T07:55:59Z,35KQR,0,0,1
2018-08-20T07:46:09Z,35KQR,0,6,1
2018-08-15T07:47:21Z,35KQR,0,6,1
2018-08-13T07:56:09Z,35KQR,0,0,1
2018-08-10T07:46:09Z,35KQR,0,6,1
2018-08-08T07:56:11Z,35KQR,0,0,1
2018-08-05T07:46:11Z,35KQR,0,6,1
2018-07-31T07:46:09Z,35KQR,0,6,1
2018-07-29T07:56:11Z,35KQR,0,0,1
2018-07-26T07:46:11Z,35KQR,0,6,1
2018-07-24T07:56:09Z,35KQR,0,0,1
2018-07-21T07:46:09Z,35KQR,0,6,1
2018-07-16T07:46:11Z,35KQR,0,6,1
2018-07-14T07:56:09Z,35KQR,0,0,1
2018-07-11T07:46:09Z,35KQR,0,6,1
2018-07-06T07:46:11Z,35KQR,0,10,1
2018-07-01T07:46:09Z,35KQR,0,6,1
2018-06-29T07:56:11Z,35KQR,0,0,1
2018-06-26T07:47:31Z,35KQR,0,6,1
2018-06-24T07:56:09Z,35KQR,0,0,1
2018-06-21T07:46:09Z,35KQR,0,10,1
2018-06-19T07:56:11Z,35KQR,0,0,1
2018-06-16T07:46:11Z,35KQR,0,6,1
2018-06-14T07:56:09Z,35KQR,0,0,1
2018-06-11T07:46:09Z,35KQR,0,6,1
2018-06-09T07:56:11Z,35KQR,0,0,1
2018-06-06T07:50:11Z,35KQR,0,6,1
2018-06-04T07:56:09Z,35KQR,0,0,1
2018-06-01T07:46:09Z,35KQR,0,6,1
2018-05-30T07:56:11Z,35KQR,0,0,1
2018-05-27T07:47:31Z,35KQR,0,6,1
2018-05-25T07:56:09Z,35KQR,0,0,1
2018-05-22T07:47:19Z,35KQR,0,6,1
2018-05-17T07:46:11Z,35KQR,0,6,1
2018-05-12T07:47:29Z,35KQR,0,6,1
2018-05-10T07:56:11Z,35KQR,0,0,1
2018-05-07T07:46:11Z,35KQR,0,6,1
2018-05-02T07:46:09Z,35KQR,0,10,1
2018-04-30T07:56:11Z,35KQR,0,0,1
2018-04-27T07:46:11Z,35KQR,0,6,1
2018-04-25T07:57:19Z,35KQR,0,0,1
2018-04-22T07:46:09Z,35KQR,0,6,1
2018-04-15T07:56:09Z,35KQR,0,0,1
2018-04-10T07:57:21Z,35KQR,0,0,1
2018-04-07T07:46:11Z,35KQR,0,6,1
2018-04-05T07:56:09Z,35KQR,0,0,1
2018-04-02T07:46:09Z,35KQR,0,6,1
2018-03-31T07:56:11Z,35KQR,0,0,1
2018-03-28T07:50:11Z,35KQR,0,10,1
2018-03-26T07:56:09Z,35KQR,0,0,1
2018-03-21T07:56:21Z,35KQR,0,0,1
2018-03-18T07:46:31Z,35KQR,0,6,1
2018-03-16T07:56:49Z,35KQR,0,0,1
2018-03-08T07:47:51Z,35KQR,0,6,1
2018-03-06T07:57:59Z,35KQR,0,0,1
2018-02-24T07:59:09Z,35KQR,0,0,1
2018-02-16T07:50:11Z,35KQR,0,6,1
2018-02-11T07:50:39Z,35KQR,0,6,1
2018-02-09T08:00:51Z,35KQR,0,0,1
2018-02-06T07:51:11Z,35KQR,0,10,1
2018-01-30T08:01:51Z,35KQR,0,0,1
2018-01-27T07:52:01Z,35KQR,0,10,1
2018-01-25T08:02:09Z,35KQR,0,0,1
