dt,tile_id,pixel,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,year_no
2017-09-17T07:59:59Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,2,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,3,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,4,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,5,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,6,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,7,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,8,0,0,0,0,0,0,0,0,0,0,0
2017-09-17T07:59:59Z,35KQR,9,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,2,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,3,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,4,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,5,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,6,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,7,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,8,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,9,0,0,0,0,0,0,0,0,0,0,0
2017-09-09T07:49:41Z,35KQR,0,2,5,5,3,130,104,1,9,1,1,0
2017-09-09T07:49:41Z,35KQR,1,1,3,3,3,155,84,1,7,1,1,0
2017-09-09T07:49:41Z,35KQR,2,1,2,3,3,160,81,1,7,1,1,0
2017-09-09T07:49:41Z,35KQR,3,1,2,3,3,164,76,1,7,1,1,0
2017-09-09T07:49:41Z,35KQR,4,2,2,4,3,149,88,1,8,1,1,0
2017-09-09T07:49:41Z,35KQR,5,2,5,5,3,125,107,2,9,1,1,0
2017-09-09T07:49:41Z,35KQR,6,1,3,3,3,152,87,1,7,1,1,0
2017-09-09T07:49:41Z,35KQR,7,1,2,3,3,155,85,1,7,1,1,0
2017-09-09T07:49:41Z,35KQR,8,1,2,3,3,159,81,2,7,1,1,0
2017-09-09T07:49:41Z,35KQR,9,2,3,4,3,146,91,1,8,1,1,0
2017-09-07T07:55:59Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,2,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,3,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,4,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,5,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,6,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,7,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,8,0,0,0,0,0,0,0,0,0,0,0
2017-09-07T07:55:59Z,35KQR,9,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,2,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,3,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,4,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,5,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,6,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,7,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,8,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,9,0,0,0,0,0,0,0,0,0,0,0
2017-08-30T07:46:11Z,35KQR,0,1,4,3,2,191,52,1,3,1,1,0
2017-08-30T07:46:11Z,35KQR,1,1,3,2,2,212,34,1,3,1,1,0
2017-08-30T07:46:11Z,35KQR,2,1,2,2,2,217,30,1,3,1,1,0
2017-08-30T07:46:11Z,35KQR,3,1,2,2,2,212,34,1,4,1,1,0
2017-08-30T07:46:11Z,35KQR,4,1,2,3,2,198,45,1,5,1,1,0
2017-08-30T07:46:11Z,35KQR,5,1,4,3,3,188,55,1,3,1,1,0
2017-08-30T07:46:11Z,35KQR,6,1,3,2,2,208,38,1,3,1,1,0
2017-08-30T07:46:11Z,35KQR,7,1,2,2,2,213,34,1,3,1,1,0
2017-08-30T07:46:11Z,35KQR,8,1,2,2,2,208,38,1,4,1,1,0
2017-08-30T07:46:11Z,35KQR,9,1,2,3,2,196,47,1,5,1,1,0
2017-08-25T07:49:39Z,35KQR,0,1,5,6,2,71,156,2,15,1,1,0
2017-08-25T07:49:39Z,35KQR,1,1,3,5,2,101,132,2,12,1,1,0
2017-08-25T07:49:39Z,35KQR,2,1,3,4,2,103,131,2,12,1,1,0
2017-08-25T07:49:39Z,35KQR,3,1,3,4,3,111,124,2,11,1,1,0
2017-08-25T07:49:39Z,35KQR,4,2,4,7,4,110,118,2,10,1,1,0
